Round,Global_Test_Loss,Accuracy,Precision,Recall,F1_Score,Total_Client_Training_Time_sec,Server_Aggregation_Time_sec,Num_Clients
20,0.21576610207557678,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06851458549499512,0.0015995502471923828,5
21,0.21436274349689483,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06812191009521484,0.0014121532440185547,5
22,0.2092076763510704,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06689906120300293,0.0014066696166992188,5
23,0.22587242275476455,0.9047619047619048,0.8888888888888888,0.9285714285714286,0.8990384615384616,0.07245159149169922,0.0014300346374511719,5
24,0.19858082979917527,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06901407241821289,0.0014812946319580078,5
25,0.19844283312559127,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06763720512390137,0.001394510269165039,5
26,0.1922161176800728,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06809759140014648,0.0014231204986572266,5
27,0.20385612696409225,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06764507293701172,0.0014069080352783203,5
28,0.1943589374423027,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.08090591430664062,0.0018591880798339844,5
29,0.20044759064912795,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06868934631347656,0.001379251480102539,5
30,0.19299649000167846,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06941914558410645,0.0013806819915771484,5
31,0.1984958216547966,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06664443016052246,0.0014727115631103516,5
32,0.18710069954395295,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06768345832824707,0.0013794898986816406,5
33,0.18534948080778121,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06795811653137207,0.0013957023620605469,5
34,0.18206022977828978,0.9238095238095239,0.9068216463414633,0.9357142857142857,0.9175176747839748,0.0667581558227539,0.00168609619140625,5
35,0.18911997824907303,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06889057159423828,0.0014140605926513672,5
36,0.1811790183186531,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06630802154541016,0.0014185905456542969,5
37,0.19894905239343644,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06846356391906738,0.0013957023620605469,5
38,0.18063521087169648,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06637930870056152,0.0014185905456542969,5
39,0.20190865844488143,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.0735013484954834,0.0014150142669677734,5
40,0.17796992361545563,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06800127029418945,0.0014233589172363281,5
41,0.18705029785633087,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06744980812072754,0.0014002323150634766,5
42,0.18827909827232361,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06780886650085449,0.001367807388305664,5
43,0.19598218202590942,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.0660555362701416,0.001401662826538086,5
44,0.18350238502025604,0.9238095238095239,0.9068216463414633,0.9357142857142857,0.9175176747839748,0.06508779525756836,0.0013935565948486328,5
45,0.18938962668180465,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06800103187561035,0.001367330551147461,5
46,0.18354420214891434,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06920289993286133,0.0014111995697021484,5
47,0.1918370634317398,0.9238095238095239,0.9069767441860466,0.9428571428571428,0.9184149184149184,0.06594300270080566,0.0014216899871826172,5
48,0.19035889953374863,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06770014762878418,0.0013840198516845703,5
49,0.18299695402383803,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06700277328491211,0.0014307498931884766,5
50,0.17562470883131026,0.9333333333333333,0.9166666666666667,0.95,0.9282296650717703,0.06669735908508301,0.0013976097106933594,5
